time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-17T03:13:29.000Z,38.8400002,-122.828331,2.05,1.67,md,28,50,0.005763,0.05,nc,nc72753110,2017-01-17T03:29:02.588Z,"9km WNW of Cobb, California",earthquake,0.19,0.34,0.09,10,automatic,nc,nc
2017-01-17T02:59:32.600Z,18.2665,-67.2119,29,2.1,Md,7,223.2,0.15001865,0.34,pr,pr17017000,2017-01-17T03:43:13.600Z,"3km SW of La Playa, Puerto Rico",earthquake,1.5,1.9,0,4,reviewed,pr,pr
2017-01-17T02:56:32.758Z,62.0165,-150.5296,46.4,2,ml,,,,0.35,ak,ak15082825,2017-01-17T03:06:36.075Z,"38km WSW of Y, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-01-17T02:50:41.287Z,38.3836,-118.9034,7.6,0.9,ml,12,159.46,0.131,0.1661,nn,nn00574354,2017-01-17T06:13:19.946Z,"28km WSW of Hawthorne, Nevada",earthquake,,3.6,0.47,4,reviewed,nn,nn
2017-01-17T02:44:42.250Z,33.8926667,-116.7373333,16.36,0.81,ml,27,80,0.07725,0.19,ci,ci37569751,2017-01-17T02:48:22.241Z,"5km ESE of Cabazon, CA",earthquake,0.36,0.76,0.124,20,automatic,ci,ci
2017-01-17T02:35:15.959Z,38.2896,-118.6738,6.7,1.7,ml,18,58.37,0.138,0.1602,nn,nn00574352,2017-01-17T04:04:32.184Z,"26km S of Hawthorne, Nevada",earthquake,,2.6,0.34,12,reviewed,nn,nn
2017-01-17T02:31:23.333Z,61.4741,-146.4263,35.4,1.8,ml,,,,0.55,ak,ak15082823,2017-01-17T02:39:27.752Z,"38km N of Valdez, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-17T02:12:29.374Z,58.1068,-157.0166,5,2.2,ml,,,,0.66,ak,ak15082821,2017-01-17T02:21:35.789Z,"68km SSW of King Salmon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-17T01:55:39.611Z,38.3743,-118.9021,5.5,1.3,ml,14,74.55,0.136,0.1886,nn,nn00574349,2017-01-17T02:08:52.519Z,"29km SW of Hawthorne, Nevada",earthquake,,4.1,0.28,6,reviewed,nn,nn
2017-01-17T01:40:02.120Z,38.800499,-122.8031693,0.1,1.11,md,16,135,0.009664,0.04,nc,nc72753085,2017-01-17T01:55:02.366Z,"4km WNW of The Geysers, California",earthquake,0.24,0.64,0.11,4,automatic,nc,nc
2017-01-17T01:24:15.090Z,38.8398323,-122.8320007,1.81,0.7,md,12,62,0.002992,0.02,nc,nc72753080,2017-01-17T01:39:03.334Z,"9km WNW of Cobb, California",earthquake,0.28,0.63,0.1,2,automatic,nc,nc
2017-01-17T01:17:48.200Z,-13.5404,166.5384,44.83,5.1,mb,,88,7.296,1.21,us,us10007tl5,2017-01-17T03:06:36.040Z,"115km WNW of Sola, Vanuatu",earthquake,8.3,5.9,0.086,44,reviewed,us,us
2017-01-17T01:11:19.561Z,38.3942,-118.897,10.2,0.8,ml,9,157.46,0.121,0.1363,nn,nn00574348,2017-01-17T02:05:44.180Z,"27km WSW of Hawthorne, Nevada",earthquake,,3.3,0.54,5,reviewed,nn,nn
2017-01-17T00:59:22.170Z,33.3105,-115.6951667,4.98,2.03,ml,34,101,0.05274,0.25,ci,ci37569743,2017-01-17T01:10:26.300Z,"6km SE of Bombay Beach, CA",earthquake,0.45,0.94,0.135,26,automatic,ci,ci
2017-01-17T00:29:37.859Z,58.1744,-136.7913,10.9,2.9,ml,,,,1,ak,ak15082415,2017-01-17T05:54:30.991Z,"67km WSW of Gustavus, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-01-17T00:27:18.502Z,64.9872,-147.2299,0,1.5,ml,,,,0.84,ak,ak15082412,2017-01-17T00:46:42.887Z,"25km NE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-17T00:23:41.197Z,38.2485,-118.7983,8.4,0.5,ml,5,213.92,0.186,0.0419,nn,nn00574344,2017-01-17T00:39:51.112Z,"34km SSW of Hawthorne, Nevada",earthquake,,15.9,0.16,2,reviewed,nn,nn
2017-01-17T00:23:17.669Z,38.2448,-118.797,8.4,0.7,ml,8,125.21,0.182,0.1429,nn,nn00574342,2017-01-17T02:02:36.866Z,"34km SSW of Hawthorne, Nevada",earthquake,,13.8,0.11,3,reviewed,nn,nn
2017-01-17T00:21:36.623Z,63.3924,-148.8619,80.6,2.3,ml,,,,0.47,ak,ak15082408,2017-01-17T00:31:01.489Z,"4km E of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-17T00:00:06.431Z,61.6921,-149.6449,28.4,1.9,ml,,,,0.27,ak,ak15082405,2017-01-17T00:11:28.349Z,"7km NNW of Meadow Lakes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-16T23:55:09.910Z,33.1475,-116.6338333,2.51,0.88,ml,27,82,0.05273,0.2,ci,ci37569711,2017-01-16T23:58:54.108Z,"8km NNW of Julian, CA",earthquake,0.35,0.5,0.128,23,automatic,ci,ci
2017-01-16T23:55:08.011Z,38.414,-118.9325,8.2,2,ml,18,70.5,0.138,0.1535,nn,nn00574336,2017-01-17T00:21:26.411Z,"29km WSW of Hawthorne, Nevada",earthquake,,1,0.2,8,reviewed,nn,nn
2017-01-16T23:36:03.064Z,38.3693,-118.9134,7.3,2.2,ml,21,109.91,0.146,0.1793,nn,nn00574338,2017-01-17T08:37:58.808Z,"30km SW of Hawthorne, Nevada",earthquake,,1.4,0.19,10,reviewed,nn,nn
2017-01-16T23:32:22.230Z,37.6433334,-118.8893356,2.92,0.82,md,11,90,0.006046,0.03,nc,nc72753040,2017-01-16T23:59:02.852Z,"7km E of Mammoth Lakes, California",earthquake,0.5,0.39,0.16,7,automatic,nc,nc
2017-01-16T23:21:18.776Z,64.9722,-149.3034,17.9,1.7,ml,,,,0.68,ak,ak15082392,2017-01-16T23:38:59.471Z,"44km NNW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-16T23:12:23.619Z,38.3526,-118.8947,13.4,0.8,ml,10,120.04,0.146,0.1238,nn,nn00574335,2017-01-16T23:56:32.801Z,"30km SW of Hawthorne, Nevada",earthquake,,8,0.16,2,reviewed,nn,nn
2017-01-16T23:07:18.900Z,38.7886658,-122.7363358,1.76,0.88,md,8,67,0.005429,0.02,nc,nc72753015,2017-01-16T23:36:02.801Z,"2km NE of The Geysers, California",earthquake,0.38,0.79,0.08,3,automatic,nc,nc
2017-01-16T23:03:14.109Z,38.372,-118.8776,11.9,0.8,ml,6,235.53,0.317,0.2171,nn,nn00574346,2017-01-17T00:55:10.694Z,"27km SW of Hawthorne, Nevada",earthquake,,11.9,0.44,3,reviewed,nn,nn
2017-01-16T22:58:44.310Z,38.8378334,-122.7835007,1,2.44,md,39,47,0.005375,0.05,nc,nc72753000,2017-01-16T23:03:03.713Z,"5km WNW of Cobb, California",earthquake,0.16,0.21,0.2,19,automatic,nc,nc
2017-01-16T22:57:36.900Z,17.9985,-66.4776,16,2.3,Md,13,172.8,0.12217088,0.34,pr,pr17016010,2017-01-17T01:13:42.494Z,"1km ENE of Capitanejo, Puerto Rico",earthquake,0.7,0.8,0,13,reviewed,pr,pr
2017-01-16T22:22:45.377Z,57.4781,-136.8012,35.6,3.2,ml,,,,1.13,ak,ak15082001,2017-01-16T22:38:49.186Z,"100km WNW of Sitka, Alaska",earthquake,,5.9,,,automatic,ak,ak
2017-01-16T22:22:18.230Z,34.6166667,-117.3068333,0.11,1.12,ml,18,119,0.05895,0.29,ci,ci37569655,2017-01-16T22:26:08.417Z,"9km N of Victorville, CA",earthquake,0.75,31.61,0.156,21,automatic,ci,ci
2017-01-16T22:14:17.006Z,38.3934,-118.8872,10.4,1.3,ml,9,155.9,0.115,0.1576,nn,nn00574315,2017-01-16T22:26:55.462Z,"27km WSW of Hawthorne, Nevada",earthquake,,2.4,0.23,3,reviewed,nn,nn
