BASKETID,SECTION,OBJECTID,the_geom,LOCATION_DESCRIPTION,BASKETTYPE,OWNERTYPE,STREETNAME1,STREETNAME2,DIRECTION,STATEPLANE_LABELX,STATEPLANE_LABELY,STATEPLANE_SNAPPEDX,STATEPLANE_SNAPPEDY
20720033,BX072,9410,POINT (-73.89147571748995 40.87420031246607),S corner of BEDFORD PARK BL W and PAUL AV,Standard Wire Basket,DSNY-owned,BEDFORD PARK BL W,PAUL AV,S,1014263.46259889,257788.07108763,1014226.99679255,257840.49158646
20820041,BX082,9411,POINT (-73.9083364756954 40.880646558883804),S corner of W 231 ST and TIBBETT AV,Standard Wire Basket,DSNY-owned,W 231 ST,TIBBETT AV,S,1009598.06018431,260131.36528555,1009581.86205398,260165.36554563
20940012,BX094,9412,POINT (-73.86695666442158 40.83145895818089),SE corner of WESTCHESTER AV and ST LAWRENCE AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,ST LAWRENCE AV,SE,1021068.00410789,242225.1343658,1021008.29228505,242256.94991897
20730028,BX073,9413,POINT (-73.87857255567103 40.88132387988116),NW corner of E GUN HILL RD and BAINBRIDGE AV,High-End Basket,BID-owned,E GUN HILL RD,BAINBRIDGE AV,NW,1017828.3117684,260388.15086122,1017837.46562147,260350.73590981
20820042,BX082,9414,POINT (-73.90857625515923 40.88079477478865),W corner of W 231 ST and TIBBETT AV,Standard Wire Basket,DSNY-owned,W 231 ST,TIBBETT AV,W,1009531.69778423,260185.29693621,1009549.29322147,260190.3622148
20940013,BX094,9415,POINT (-73.86565834548425 40.83186282480091),SW corner of WESTCHESTER AV and TAYLOR AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,TAYLOR AV,SW,1021427.06703806,242372.82599954,1021468.13388506,242427.66808146
20730029,BX073,9416,POINT (-73.88407670634037 40.88050151399458),W corner of JEROME AV and W MOSHOLU PKWY N,High-End Basket,BID-owned,JEROME AV,W MOSHOLU PKWY N,W,1016306.66553348,260086.46839371,1016344.58146815,260096.66489564
20730030,BX073,9417,POINT (-73.8741744492081 40.87919327003753),NE corner of E GUN HILL RD and PERRY AV,Standard Wire Basket,DSNY-owned,E GUN HILL RD,PERRY AV,NE,1019045.61904506,259613.60188538,1019016.46916898,259602.2925248
20820043,BX082,9418,POINT (-73.90943472396766 40.87953102129211),E corner of W 230 ST and TIBBETT AV,Standard Wire Basket,DSNY-owned,W 230 ST,TIBBETT AV,E,1009294.78257565,259724.61478671,1009257.84662589,259729.77586563
20940014,BX094,9419,POINT (-73.86474246004458 40.83214731949438),SW corner of WESTCHESTER AV and THIERIOT AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,THIERIOT AV,SW,1021680.36180706,242476.86778621,1021717.22787505,242520.21382813
20940015,BX094,9420,POINT (-73.86427600337788 40.83223018171167),SE corner of WESTCHESTER AV and THIERIOT AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,THIERIOT AV,SE,1021809.39796631,242507.25716113,1021750.80720423,242534.6593373
20820044,BX082,9421,POINT (-73.90968310534082 40.879317942642544),S corner of W 230 ST and TIBBETT AV,Standard Wire Basket,DSNY-owned,W 230 ST,TIBBETT AV,S,1009226.17674173,259646.91087388,1009223.92805856,259679.00661022
20730031,BX073,9422,POINT (-73.88341871792916 40.88056109746798),S corner of JEROME AV and E 208 ST,High-End Basket,BID-owned,JEROME AV,E 208 ST,S,1016488.59003839,260108.41848105,1016481.76295231,260145.16217397
20730032,BX073,9423,POINT (-73.88328213945881 40.88043339003107),S corner of JEROME AV and E 208 ST,Standard Wire Basket,DSNY-owned,JEROME AV,E 208 ST,S,1016526.42001523,260061.93989946,1016481.76295231,260145.16217397
20940016,BX094,9424,POINT (-73.86386931848148 40.83236230758846),SW corner of WESTCHESTER AV and LELAND AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,LELAND AV,SW,1021921.86526106,242555.57005663,1021960.48526256,242616.05353147
20820045,BX082,9425,POINT (-73.90990871705137 40.87951184177272),Intersection of TIBBETT AV and W 230 ST,Standard Wire Basket,DSNY-owned,TIBBETT AV,W 230 ST,,1009163.71459632,259717.49176946,1009191.10725807,259714.52163105
20810003,BX081,9426,POINT (-73.90202638420105 40.86877635162584),E corner of W KINGSBRIDGE RD and WEBB AV,Standard Wire Basket,DSNY-owned,W KINGSBRIDGE RD,WEBB AV,E,1011347.82210472,255808.47104421,1011286.56664981,255801.11246313
20810004,BX081,9427,POINT (-73.90241957936577 40.869023903348705),N corner of W KINGSBRIDGE RD and WEBB AV,Standard Wire Basket,DSNY-owned,W KINGSBRIDGE RD,WEBB AV,N,1011238.97225681,255898.54238638,1011252.58705898,255824.1800023
20730098,BX073,9428,POINT (-73.87873502924496 40.87292504710539),S corner of E 204 ST and PERRY AV,Standard Wire Basket,DSNY-owned,E 204 ST,PERRY AV,S,1017787.61959256,257328.06347747,1017798.77803481,257357.3265423
20730100,BX073,9429,POINT (-73.87328878500034 40.8789763000835),NE corner of E GUN HILL RD and HULL AV,Standard Wire Basket,DSNY-owned,E GUN HILL RD,HULL AV,NE,1019290.65070723,259534.90420814,1019264.90371148,259517.22051647
20730101,BX073,9430,POINT (-73.87472644940938 40.87910609183978),W corner of E GUN HILL RD and RESERVOIR PL,Standard Wire Basket,DSNY-owned,E GUN HILL RD,RESERVOIR PL,W,1018893.01698805,259581.62065013,1018935.09137897,259572.28274229
20730102,BX073,9431,POINT (-73.87421146521953 40.87886273219258),SE corner of E GUN HILL RD and PERRY AV,Standard Wire Basket,DSNY-owned,E GUN HILL RD,PERRY AV,SE,1019035.55574498,259493.15921289,1018997.93574148,259536.87926979
20730103,BX073,9432,POINT (-73.8737393970366 40.87873293903479),SW corner of E GUN HILL RD and HULL AV,Standard Wire Basket,DSNY-owned,E GUN HILL RD,HULL AV,SW,1019166.16801657,259446.05825722,1019211.13413398,259466.37088063
20730105,BX073,9433,POINT (-73.87901798556872 40.8800632991604),Location Description T/K,High-End Basket,Privately owned,Street Name TBD,,Direction TBD,1017705.77297148,259928.70099272,1017730.024433,259922.57333672
20110234,BX011,9434,POINT (-73.92112724881605 40.81440555821713),N corner of 3 AV and E 145 ST,Standard Wire Basket,DSNY-owned,3 AV,E 145 ST,N,1006082.76636189,235993.83252397,1006053.06629007,235939.38381396
20110235,BX011,9435,POINT (-73.91983978828154 40.80763320536447),S corner of E 138 ST and BROWN PL,Standard Wire Basket,DSNY-owned,E 138 ST,BROWN PL,S,1006441.39950289,233526.7482193,1006392.84579423,233595.03810896
20110236,BX011,9436,POINT (-73.91923897382131 40.807876826579516),N corner of E 138 ST and BROOK AV,Standard Wire Basket,DSNY-owned,E 138 ST,BROOK AV,N,1006607.64293681,233615.66077113,1006602.99662064,233539.46735397
20110237,BX011,9437,POINT (-73.91518347321663 40.818140613152096),NW corner of 3 AV and ELTON AV,Standard Wire Basket,DSNY-owned,3 AV,ELTON AV,NW,1007726.71451756,237356.1834738,1007760.30368923,237342.77011479
20110238,BX011,9438,POINT (-73.91490452369578 40.8179295066937),Location Description T/K,Standard Wire Basket,DSNY-owned,Street Name TBD,,Direction TBD,1007803.99946798,237279.34471671,1007785.33265082,237295.87181572
40710026,QE071,9439,POINT (-73.82692042361157 40.76088104086727),SW corner of UNION ST and 39 AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,UNION ST,39 AV,SW,1032198.18296298,216530.55944271,1032195.66984464,216581.93007489
40710168,QE071,9440,POINT (-73.82708452163541 40.760927984849076),SW corner of UNION ST and 39 AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,UNION ST,39 AV,SW,1032152.68961565,216547.57286014,1032195.66984464,216581.93007489
20910058,BX091,9441,POINT (-73.87928478826973 40.82838657497254),SW corner of WESTCHESTER AV and ELDER AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,ELDER AV,SW,1017657.93907765,241100.81213938,1017677.51416972,241135.88556005
20910059,BX091,9442,POINT (-73.87836210875065 40.82853270239563),SW corner of WESTCHESTER AV and BOYNTON AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,BOYNTON AV,SW,1017913.21350148,241154.40487997,1017937.46837422,241160.95473564
20920038,BX092,9443,POINT (-73.88132537613413 40.82862778358923),NW corner of WESTCHESTER AV and EVERGREEN AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,EVERGREEN AV,NW,1017093.09440681,241187.92154522,1017143.28689173,241153.6384773
20920039,BX092,9444,POINT (-73.86354083246292 40.832864400455236),NE corner of WESTCHESTER AV and LELAND AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,LELAND AV,NE,1022012.48220581,242738.64219704,1022001.12494506,242714.26855813
20920041,BX092,9445,POINT (-73.8716518337212 40.83051023971182),NE corner of WESTCHESTER AV and FTELEY AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,FTELEY AV,NE,1019769.19896273,241877.54319747,1019742.75347756,241852.77421813
20930055,BX093,9446,POINT (-73.86338191475339 40.83780458751866),SE corner of WHITE PLAINS RD and ARCHER ST,Standard Wire Basket,DSNY-owned,WHITE PLAINS RD,ARCHER ST,SE,1022053.65207098,244538.60152364,1022040.41686122,244548.59067689
20940057,BX094,9447,POINT (-73.84934859754968 40.82635911474171),NE corner of CASTLE HILL AV and QUIMBY AV,Standard Wire Basket,DSNY-owned,CASTLE HILL AV,QUIMBY AV,NE,1025943.94415915,240374.96779054,1025877.28845257,240333.6499598
20940058,BX094,9448,POINT (-73.8485332060882 40.822332240963966),SE corner of CASTLE HILL AV and VIRGIL PL,Standard Wire Basket,DSNY-owned,CASTLE HILL AV,VIRGIL PL,SE,1026172.14449014,238908.22269255,1026122.90475923,238956.07725564
20940059,BX094,9449,POINT (-73.84896236011531 40.82395600968814),SE corner of CASTLE HILL AV and TURNBULL AV,Standard Wire Basket,DSNY-owned,CASTLE HILL AV,TURNBULL AV,SE,1026052.34682947,239499.61455438,1026024.25338173,239513.6811273
20940060,BX094,9450,POINT (-73.85793166744403 40.82181262693662),SE corner of LAFAYETTE AV and WHITE PLAINS RD,Standard Wire Basket,DSNY-owned,LAFAYETTE AV,WHITE PLAINS RD,SE,1023571.22449514,238714.55050771,1023517.5480933,238757.23447746
20940061,BX094,9451,POINT (-73.85801749769206 40.82223481375029),NE corner of LAFAYETTE AV and WHITE PLAINS RD,Standard Wire Basket,DSNY-owned,LAFAYETTE AV,WHITE PLAINS RD,NE,1023547.2196219,238868.32972771,1023502.26269081,238835.56273288
20940062,BX094,9452,POINT (-73.85853248058065 40.82223481363947),NW corner of LAFAYETTE AV and WHITE PLAINS RD,Standard Wire Basket,DSNY-owned,LAFAYETTE AV,WHITE PLAINS RD,NW,1023404.68677048,238868.09908514,1023440.22442906,238822.45449138
20920043,BX092,9453,POINT (-73.86838639881206 40.8315015541016),NW corner of WESTCHESTER AV and COMMONWEALTH AV,Standard Wire Basket,DSNY-owned,WESTCHESTER AV,COMMONWEALTH AV,NW,1020672.32510923,242240.05592388,1020713.68329422,242221.52676147
20730106,BX073,9454,POINT (-73.88472157028103 40.87998357708933),Location Description T/K,Standard Wire Basket,DSNY-owned,Street Name TBD,,Direction TBD,1016128.58977415,259897.52815481,1016156.26376547,259873.38899046
20730107,BX073,9455,POINT (-73.88176041166714 40.88262799708746),W corner of JEROME AV and W GUN HILL RD,Standard Wire Basket,DSNY-owned,JEROME AV,W GUN HILL RD,W,1016946.14424139,260862.08659314,1017033.48757064,260884.37985563
20110241,BX011,9456,POINT (-73.92368870288072 40.81236087560979),Location Description T/K,Standard Wire Basket,DSNY-owned,Street Name TBD,,Direction TBD,1005374.39245056,235248.25396264,1005395.98584714,235236.01638869
